0x0BD1538,313A4669656C640000
0x0BD2194,426F7373205374616C666F7320526F6F6D000000000000000000
0x0BD21B4,4F6C6454657374
0x0BD21C0,50726F7669
0x0BD21C6,6741726561
0x0BD21D0,44
0x0BD21D5,20546573740000
0x0BD21E4,487972756C65616E2047616D652032000000000000000000
0x0BD2384,4164756C7429202000
0x0BD2391,3130284368696C642920202000
0x0BD23A9,4E69676874
0x0BD23AF,202020202020202020
0x0BD23BE,4461792020
0x0BD23C4,202020202020202020
0x0BD23D0,43555453435F
0x0BD23DC,43555453435F
0x0BD23E8,43555453435F
0x0BD23F4,43555453435F
0x0BD2400,43555453435F
0x0BD240C,43555453435F
0x0BD2418,43555453435F
0x0BD2424,43555453435F
0x0BD2430,43555453435F
0x0BD243C,43555453435F
0x0BD2448,43555453435F
